2018-02-26 19:11:42,b'Boney Kapoor Questioned For 16-18 Hours By Dubai Police. \n\n#Sridevi #SrideviDeathMystery #srideviBkapoor #BoneyKapoor #sridevideath #Bollywood #Tollywood https://t.co/mCu37nKdOQ'
2018-02-26 19:11:30,"b'Only the diva, knows the truth behind her untimely death....from cardiac arrest to drowning...something is not right here!...#SrideviDeathMystery'"
2018-02-26 19:11:23,"b""We still don't know what was happened.\n#SrideviDeathMystery"""
2018-02-26 19:11:21,"b""The way Indian media projecting a reputed and legendary Actress's death seems as if News channels are desperate to call it a murder.\n\nThis is immensely cheap.\n\nI wonder what shall i do after getting my Bachelors of Journalism degree?\n\n#SrideviDeathMystery"""
2018-02-26 19:11:21,b'@AmitHPanchal @rohanduaTOI @timesofindia Well RohanDua has not done his research before sharing a fake report.Please see this: https://t.co/W47zIvUAIS #SrideviDeathMystery This is one you should be talking about! Welcome Amit\xe2\x98\xba'
2018-02-26 19:11:19,b'@TimesNow did u got answer for big question?\n#SrideviDeathMystery\n#Sridevi #sridevideath https://t.co/DyobGD1O7T'
2018-02-26 19:11:16,b'#Indian #investing officers need to do the #SrideviDeathMystery #postmortem #autopsy again to verify the #TwistOfFate in #Dubai claims. #highlighter #feelings #DunyaNews #ArnabGoswami #SwamyExposed2GScam #Sunanda #MurderMystery #Historyinthemaking2018 #republictv #crimefiction https://t.co/hpYmtv04Sc'
2018-02-26 19:11:16,"b""#SrideviDeathMystery# RIP madam# I'm wondering what's Arjuns role in it now ..? jeeez ... Why did Arjuna kapoor go Dubai..? https://t.co/oFWBuf7Fbt"""
2018-02-26 19:11:06,b'*A Celebrity dies*\n\n-Foreign Media - R.I.P\n-Indian Media  - T.R.P\n#SrideviDeathMystery'
2018-02-26 19:10:50,b'Is the true story out? Reason behind @SrideviBKapoor death? #FactsAreNotClearedYet #SrideviDeathMystery #SomeQuestionsAreYetToBeAnswered #NationWantsToKnow #RIPSridevi https://t.co/kT27RLfVUL'
2018-02-26 19:10:47,"b'#Sridevi who can make a super hit Comeback after 15 years, can Dazzle the Ramp all the time... Can she die so easily..? Would she not ask Help from the Husband who was Standing next to the door....? ?\n\n#SrideviDeathMystery  Continues... https://t.co/edzLcZxCMZ'"
